"time","fault","indicator"
82530,0,1
713700,0,1
671220,0,1
61470,0,1
77130,0,1
205650,0,1
105660,0,1
33390,0,1
16560,0,1
9360,0,1
67500,0,1
4590,0,1
123210,0,1
5400,0,1
678960,0,1
57600,0,1
85680,0,1
26460,0,1
100620,0,1
12150,0,1
154350,0,1
164610,0,1
3150,0,1
10350,0,1
157500,0,1
66870,0,1
245700,0,1
167310,0,1
27720,0,1
229860,0,1
21420,0,1
3780,0,1
105570,0,1
2700,0,1
69390,0,1
62730,0,1
20340,0,1
413550,0,1
55170,0,1
41940,0,1
75420,0,1
900,0,1
43200,0,1
380610,0,1
500850,0,1
69930,0,1
3600,0,1
990,0,1
14400,0,1
2430,0,1
17910,0,1
5670,0,1
210060,0,1
82620,0,1
151740,0,1
59130,0,1
3510,0,1
188820,0,1
88560,0,1
176130,0,1
5130,0,1
298080,0,1
141480,0,1
13680,0,1
900,0,1
92430,0,1
213480,0,1
31950,0,1
373500,0,1
232020,0,1
117900,0,1
64260,0,1
4500,0,1
253710,0,1
302940,0,1
71460,0,1
515970,0,1
260010,0,1
97920,0,1
673470,0,1
95580,0,1
338310,0,1
35550,0,1
251820,0,1
199710,0,1
469440,0,1
189180,0,1
99900,0,1
270,0,1
90,0,1
50670,0,1
162180,0,1
228330,0,1
1620,0,1
28440,0,1
150480,0,1
36000,0,1
180,0,1
110160,0,1
513450,0,1
93420,0,1
5400,0,1
10710,0,1
331830,0,1
406350,0,1
306900,0,1
580500,0,1
1260,0,1
178200,0,1
124380,0,1
313470,0,1
158940,0,1
303480,0,0
